,available,code,image,link,name,num_merchants,num_reviews,price,region,snoothrank,tags,type,varietal,vintage,winery,winery_id
27,1,robert-mondavi-priv-sel-pinot-noir-2009-1,http://ei.isnooth.com/multimedia/7/e/1/image_1572250_square.jpeg,http://www.snooth.com/wine/robert-mondavi-priv-sel-pinot-noir-2009-1/,Robert Mondavi Priv Sel Pinot Noir,112,2,7.99,USA > California > Central Coast,n/a,,Red Wine,Pinot Noir,2009,Robert Mondavi Winery,robert-mondavi-winery
28,1,donovan-parke-zinfandel-california-2010,http://ei.isnooth.com/multimedia/a/4/1/image_2256198_square.jpeg,http://www.snooth.com/wine/donovan-parke-zinfandel-california-2010/,Donovan-Parke Zinfandel California,112,2,11.95,USA > California,3,,,Zinfandel,2010,Donovan Wines,donovan-wines
29,1,donovan-parke-cabernet-sauvignon-sonoma-county-2010,http://ei.isnooth.com/multimedia/7/a/2/image_2133995_square.jpeg,http://www.snooth.com/wine/donovan-parke-cabernet-sauvignon-sonoma-county-2010/,Donovan-Parke Cabernet Sauvignon Sonoma County,112,2,11.95,USA > California > Sonoma County,2,,,Cabernet Sauvignon,2010,Donovan Wines,donovan-wines
30,1,perry-creek-zinfandel-fair-play-zin-man-perry-creek-vineyards-2009,http://ei.isnooth.com/multimedia/0/1/4/image_528180_square.jpeg,http://www.snooth.com/wine/perry-creek-zinfandel-fair-play-zin-man-perry-creek-vineyards-2009/,Perry Creek Zinfandel Fair Play Zin Man Perry Creek Vineyards,112,1,13.49,USA > California > El Dorado County > Fair Play,n/a,,,Zinfandel,2009,Perry Creek Vineyards,perry-creek-vineyards
31,1,jacobs-creek-jacobs-creek-moscato-2011,http://ei.isnooth.com/multimedia/5/d/c/image_1740206_square.jpeg,http://www.snooth.com/wine/jacobs-creek-jacobs-creek-moscato-2011/,Jacob's Creek Jacob's Creek Moscato,112,3,6.99,Australia > South Eastern Australia,n/a,,Red Wine,Muscat Blanc,2011,Jacob's Creek,jacobs-creek
32,1,bodegas-atteca-garnacha-de-fuego-2009,http://ei.isnooth.com/multimedia/2/8/a/image_1256685_square.jpeg,http://www.snooth.com/wine/bodegas-atteca-garnacha-de-fuego-2009/,Bodegas Atteca Garnacha de Fuego,114,4,8.99,Spain > Catalonia,3,,Red Wine,Grenache,2009,Garnacha de Fuego,garnacha-de-fuego
33,1,babcock-syrah-santa-barbara-county-under-the-radar-2009,http://ei.isnooth.com/multimedia/8/2/3/image_1161136_square.jpeg,http://www.snooth.com/wine/babcock-syrah-santa-barbara-county-under-the-radar-2009/,Babcock Syrah Santa Barbara County Under the Radar,112,1,14.99,USA > California > Santa Barbara County > Santa Ynez Valley,3,,Red Wine,Syrah,2009,Babcock Vineyards,babcock-vineyards
34,1,st-francis-wild-oak-merlot-2005,http://ei.isnooth.com/multimedia/1/c/8/image_1932370_square.jpeg,http://www.snooth.com/wine/st-francis-wild-oak-merlot-2005/,St. Francis Wild Oak Merlot,1,7,16.99,USA > California > Sonoma Valley,3.5,,Red Wine,Merlot,2005,St Francis Wine Company Ltd,st-francis-wine-company-ltd
35,1,michel-lynch-cabernet-sauvignon-1998,http://ei.isnooth.com/multimedia/e/5/2/image_215511_square.jpeg,http://www.snooth.com/wine/michel-lynch-cabernet-sauvignon-1998/,Michel Lynch Cabernet Sauvignon,112,2,19.95,France > Bordeaux,n/a,,Red Wine,Cabernet Sauvignon,1998,Michel Lynch,michel-lynch
36,1,kendall-jackson-red-blend-sonoma-county-meritage-grand-reserve-2006,http://ei.isnooth.com/multimedia/0/3/8/image_767417_square.jpeg,http://www.snooth.com/wine/kendall-jackson-red-blend-sonoma-county-meritage-grand-reserve-2006/,Kendall-Jackson Red Blend Sonoma County Meritage Grand Reserve,114,9,24.99,USA > California > Sonoma County,3.5,,Red Wine,Bordeaux Blend,2006,Kendall-Jackson,kendall-jackson
